scheduled_time,airline,flight_number,destination_or_origin,status,counter,actual_time,register,aircraft,airport,flight_type
2025-06-01 00:05:00,آتا,TBZ5620A,مشهد,نشست | پایان دریافت بار,1,,EPTAZ,md88,فرودگاه مهرآباد,Domestic Arrival
2025-05-28 07:00:00,ماهان,IRM1070,زاهدان,نشست | پایان دریافت بار,3,,EPMEI,RJ85,فرودگاه مهرآباد,Domestic Arrival
2025-06-01 00:15:00,ساها,IRZ173,بوشهر,باطل شد,,,,B737,فرودگاه مهرآباد,Domestic Arrival
2025-06-01 00:15:00,کارون,KRU2609A,یزد,نشست | پایان دریافت بار,6,,EPNFC,B737,فرودگاه مهرآباد,Domestic Arrival
2025-05-28 08:10:00,ساها,IRZ159,شیراز,نشست | پایان دریافت بار,2,,EPSII,737-700,فرودگاه مهرآباد,Domestic Arrival
2025-05-28 08:20:00,آتا,TBZ5614,مشهد,نشست | پایان دریافت بار,5,,EPTAM,MD83,فرودگاه مهرآباد,Domestic Arrival
2025-05-28 08:25:00,فلای پرشیا,FPI7439,مشهد,نشست | پایان دریافت بار,4,,EPFPA,B737,فرودگاه مهرآباد,Domestic Arrival
2025-06-01 00:25:00,آتا,TBZ5669A,یزد,نشست | پایان دریافت بار,2,,EPTAJ,MD83,فرودگاه مهرآباد,Domestic Arrival
2025-05-28 08:30:00,پويا,PYA2315,یزد,نشست | پایان دریافت بار,3,,EPPUO,EMB145,فرودگاه مهرآباد,Domestic Arrival
2025-05-28 08:35:00,چابهار,IRU7653,اهواز,نشست | پایان دریافت بار,3,,EPSEB,MD83,فرودگاه مهرآباد,Domestic Arrival
2025-05-28 08:40:00,آسمان,IRC3915,بوشهر,نشست | پایان دریافت بار,6,,EPASR,F100,فرودگاه مهرآباد,Domestic Arrival
2025-06-01 00:30:00,پارس ایر,PRS5417A,چابهار,نشست | پایان دریافت بار,7,,EPPRA,CRJ200,فرودگاه مهرآباد,Domestic Arrival
2025-05-28 09:00:00,کارون,KRU2591,ماهشهر,نشست | پایان دریافت بار,1,,EPJIB,737,فرودگاه مهرآباد,Domestic Arrival
2025-05-28 09:05:00,کیش ایر,KIS7084,یزد,نشست | پایان دریافت بار,2,,EPLCK,MD82,فرودگاه مهرآباد,Domestic Arrival
2025-05-28 09:20:00,قشم ایر,QSM1292,سنندج,نشست | پایان دریافت بار,6,,EPFQI,F100,فرودگاه مهرآباد,Domestic Arrival
2025-05-28 09:20:00,چابهار,IRU7627,شیراز,نشست | پایان دریافت بار,4,,EPCBD,MD83,فرودگاه مهرآباد,Domestic Arrival
2025-05-28 09:25:00,آتا,TBZ5609,تبریز,نشست | پایان دریافت بار,2,,EPTAZ,MD83,فرودگاه مهرآباد,Domestic Arrival
2025-05-28 09:25:00,آسمان,IRC841,ایلام,نشست | پایان دریافت بار,3,,EPATE,F100,فرودگاه مهرآباد,Domestic Arrival
2025-05-28 09:30:00,ایران ایرتور,IRB985,شیراز,نشست | پایان دریافت بار,3,,EPMDC,MD83,فرودگاه مهرآباد,Domestic Arrival
2025-05-28 09:45:00,کارون,KRU2677,کرمان,نشست | پایان دریافت بار,6,,EPJIA,737,فرودگاه مهرآباد,Domestic Arrival
2025-05-28 10:05:00,کیش ایر,KIS7192,عسلویه,نشست | پایان دریافت بار,2,,EPLCM,MD83,فرودگاه مهرآباد,Domestic Arrival
2025-05-28 10:05:00,آتا,TBZ5720,مشهد,نشست | پایان دریافت بار,5,,EPTAO,MD83,فرودگاه مهرآباد,Domestic Arrival
2025-05-28 10:20:00,اطلس ایر,ATS8294,بندرعباس,نشست | پایان دریافت بار,3,,EPLEE,737-700,فرودگاه مهرآباد,Domestic Arrival
2025-05-28 10:40:00,کاسپین,CPN015,عسلویه,نشست | پایان دریافت بار,3,,EPCAS,MD83,فرودگاه مهرآباد,Domestic Arrival
2025-05-28 11:10:00,آتا,TBZ5701,سیرجان,نشست | پایان دریافت بار,4,,EPTAH,737-700,فرودگاه مهرآباد,Domestic Arrival
2025-06-01 00:35:00,قشم ایر,QSM1217,آبادان,نشست | پایان دریافت بار,4,,EPFQU,rj100,فرودگاه مهرآباد,Domestic Arrival
2025-05-28 11:30:00,اطلس ایر,ATS8272,كيش,نشست | پایان دریافت بار,1,,EPSAP,MD83,فرودگاه مهرآباد,Domestic Arrival
2025-05-28 11:35:00,یزد ایر,DZD9402,رشت,نشست | پایان دریافت بار,3,,EPDZH,146-200,فرودگاه مهرآباد,Domestic Arrival
2025-05-28 11:45:00,رایمون,RAI7513,اصفهان,نشست | پایان دریافت بار,6,,EPNEA,EMB145,فرودگاه مهرآباد,Domestic Arrival
2025-05-28 12:05:00,آساجت,SJT8605,عسلویه,نشست | پایان دریافت بار,6,,EPRHO,EMB145,فرودگاه مهرآباد,Domestic Arrival
2025-05-28 12:05:00,ماهان,IRM1082,جاسک,نشست | پایان دریافت بار,4,,EPMOH,146-200,فرودگاه مهرآباد,Domestic Arrival
2025-05-28 12:10:00,آتا,TBZ5630,مشهد,نشست | پایان دریافت بار,3,,EPTAQ,MD83,فرودگاه مهرآباد,Domestic Arrival
2025-05-28 12:20:00,آسمان,IRC631,گرگان,نشست | پایان دریافت بار,1,,EPASR,F100,فرودگاه مهرآباد,Domestic Arrival
2025-05-28 12:25:00,آتا,TBZ5656,سبزوار,نشست | پایان دریافت بار,5,,EPTAR,MD83,فرودگاه مهرآباد,Domestic Arrival
2025-05-28 12:30:00,ماهان,IRM1054,کرمان,نشست | پایان دریافت بار,6,,EPMOI,AB6,فرودگاه مهرآباد,Domestic Arrival
