scheduled_time,airline,flight_number,destination_or_origin,status,counter,actual_time,register,aircraft,airport,flight_type,scheduled,actual,scheduled_datetime,actual_datetime,delay,delay_minutes,scheduled_day_of_week,is_weekend,is_Nourooz_4,is_Nourooz_13,Normal_holiday,scheduled_season,scheduled_time_of_day,Early_OnTime_Late_Indicator,Actual_Day_Matches_Scheduled_Day,Scheduled_Hour_of_Day
2025-05-28 06:50:00,کاسپین,CPN024,مشهد,پرواز كرد,"12, 13",2025-05-28 07:21:00,EPCPU,MD83,فرودگاه مهرآباد,Domestic Departure,2025-05-28 06:50:00,2025-05-28 07:21:00,2025-05-28 06:50:00,2025-05-28 07:21:00,0 days 00:31:00,31.0,Wednesday,0,0,0,0,Spring,Morning,Late,1,6
2025-05-28 07:00:00,اطلس ایر,ATS8271,كيش,پرواز كرد,"16, 17",2025-05-28 07:39:00,EPSAP,MD83,فرودگاه مهرآباد,Domestic Departure,2025-05-28 07:00:00,2025-05-28 07:39:00,2025-05-28 07:00:00,2025-05-28 07:39:00,0 days 00:39:00,39.0,Wednesday,0,0,0,0,Spring,Morning,Late,1,7
2025-05-28 07:00:00,آتا,TBZ5700,سیرجان,پرواز كرد,"26, 27",2025-05-28 07:27:00,EPTAH,737-700,فرودگاه مهرآباد,Domestic Departure,2025-05-28 07:00:00,2025-05-28 07:27:00,2025-05-28 07:00:00,2025-05-28 07:27:00,0 days 00:27:00,27.0,Wednesday,0,0,0,0,Spring,Morning,Late,1,7
2025-05-28 07:05:00,پويا,PYA2350,اصفهان,پرواز كرد,14,2025-05-28 07:23:00,EPPUN,EMB145,فرودگاه مهرآباد,Domestic Departure,2025-05-28 07:05:00,2025-05-28 07:23:00,2025-05-28 07:05:00,2025-05-28 07:23:00,0 days 00:18:00,18.0,Wednesday,0,0,0,0,Spring,Morning,Late,1,7
2025-05-28 07:05:00,ایران ایر,IRA311,اهواز,پرواز كرد,"5, 6",2025-05-28 07:29:00,EPIEQ,A319,فرودگاه مهرآباد,Domestic Departure,2025-05-28 07:05:00,2025-05-28 07:29:00,2025-05-28 07:05:00,2025-05-28 07:29:00,0 days 00:24:00,24.0,Wednesday,0,0,0,0,Spring,Morning,Late,1,7
2025-05-28 07:10:00,ماهان,IRM4525,چابهار,پرواز كرد,25,2025-05-28 07:32:00,EPMEU,rj100,فرودگاه مهرآباد,Domestic Departure,2025-05-28 07:10:00,2025-05-28 07:32:00,2025-05-28 07:10:00,2025-05-28 07:32:00,0 days 00:22:00,22.0,Wednesday,0,0,0,0,Spring,Morning,Late,1,7
2025-05-28 07:30:00,کارون,KRU2516,لاوان,پرواز كرد,"18, 19",2025-05-28 08:10:00,EPMIS,F100,فرودگاه مهرآباد,Domestic Departure,2025-05-28 07:30:00,2025-05-28 08:10:00,2025-05-28 07:30:00,2025-05-28 08:10:00,0 days 00:40:00,40.0,Wednesday,0,0,0,0,Spring,Morning,Late,1,7
2025-05-28 07:35:00,معراج,MRJ2816,عسلویه,پرواز كرد,"14, 15",2025-05-28 07:45:00,EPSSN,A321,فرودگاه مهرآباد,Domestic Departure,2025-05-28 07:35:00,2025-05-28 07:45:00,2025-05-28 07:35:00,2025-05-28 07:45:00,0 days 00:10:00,10.0,Wednesday,0,0,0,0,Spring,Morning,On Time,1,7
2025-05-28 07:35:00,کاسپین,CPN016,چابهار,پرواز كرد,"8, 9",2025-05-28 07:47:00,EPCPD,MD83,فرودگاه مهرآباد,Domestic Departure,2025-05-28 07:35:00,2025-05-28 07:47:00,2025-05-28 07:35:00,2025-05-28 07:47:00,0 days 00:12:00,12.0,Wednesday,0,0,0,0,Spring,Morning,On Time,1,7
2025-05-28 08:30:00,وارش,VRH5876,مشهد,پرواز كرد,7,2025-05-28 09:00:00,EPVAF,B737,فرودگاه مهرآباد,Domestic Departure,2025-05-28 08:30:00,2025-05-28 09:00:00,2025-05-28 08:30:00,2025-05-28 09:00:00,0 days 00:30:00,30.0,Wednesday,0,0,0,0,Spring,Morning,Late,1,8
2025-05-28 08:45:00,وارش,VRH5856,مشهد,پرواز كرد,6,2025-05-28 08:54:00,EPVBM,B737,فرودگاه مهرآباد,Domestic Departure,2025-05-28 08:45:00,2025-05-28 08:54:00,2025-05-28 08:45:00,2025-05-28 08:54:00,0 days 00:09:00,9.0,Wednesday,0,0,0,0,Spring,Morning,On Time,1,8
2025-05-28 09:00:00,رایمون,RAI7512,اصفهان,پرواز كرد,"3, 4",2025-05-28 09:09:00,EPNEA,EMB145,فرودگاه مهرآباد,Domestic Departure,2025-05-28 09:00:00,2025-05-28 09:09:00,2025-05-28 09:00:00,2025-05-28 09:09:00,0 days 00:09:00,9.0,Wednesday,0,0,0,0,Spring,Morning,On Time,1,9
2025-05-28 09:05:00,آتا,TBZ5655,سبزوار,پرواز كرد,"28, 29",2025-05-28 09:34:00,EPTAR,MD83,فرودگاه مهرآباد,Domestic Departure,2025-05-28 09:05:00,2025-05-28 09:34:00,2025-05-28 09:05:00,2025-05-28 09:34:00,0 days 00:29:00,29.0,Wednesday,0,0,0,0,Spring,Morning,Late,1,9
2025-05-28 09:10:00,ساها,IRZ170,مشهد,پرواز كرد,"8, 9",2025-05-28 10:01:00,EPSII,737-700,فرودگاه مهرآباد,Domestic Departure,2025-05-28 09:10:00,2025-05-28 10:01:00,2025-05-28 09:10:00,2025-05-28 10:01:00,0 days 00:51:00,51.0,Wednesday,0,0,0,0,Spring,Morning,Late,1,9
2025-05-28 09:20:00,فلای پرشیا,FPI7440,مشهد,پرواز كرد,"18, 19",2025-05-28 10:56:00,EPFPA,B737,فرودگاه مهرآباد,Domestic Departure,2025-05-28 09:20:00,2025-05-28 10:56:00,2025-05-28 09:20:00,2025-05-28 10:56:00,0 days 01:36:00,96.0,Wednesday,0,0,0,0,Spring,Morning,Late,1,9
2025-05-28 09:25:00,آتا,TBZ5623,شیراز,پرواز كرد,"12, 13",2025-05-28 09:50:00,EPTAM,MD83,فرودگاه مهرآباد,Domestic Departure,2025-05-28 09:25:00,2025-05-28 09:50:00,2025-05-28 09:25:00,2025-05-28 09:50:00,0 days 00:25:00,25.0,Wednesday,0,0,0,0,Spring,Morning,Late,1,9
2025-05-28 09:30:00,آساجت,SJT8660,رشت,پرواز كرد,14,2025-05-28 09:30:00,EPJEK,EMB145,فرودگاه مهرآباد,Domestic Departure,2025-05-28 09:30:00,2025-05-28 09:30:00,2025-05-28 09:30:00,2025-05-28 09:30:00,0 days 00:00:00,0.0,Wednesday,0,0,0,0,Spring,Morning,On Time,1,9
2025-05-28 09:30:00,پويا,PYA2312,مشهد,پرواز كرد,14,2025-05-28 09:56:00,EPPUO,EMB145,فرودگاه مهرآباد,Domestic Departure,2025-05-28 09:30:00,2025-05-28 09:56:00,2025-05-28 09:30:00,2025-05-28 09:56:00,0 days 00:26:00,26.0,Wednesday,0,0,0,0,Spring,Morning,Late,1,9
2025-05-28 09:30:00,ماهان,IRM1095,بندرعباس,پرواز كرد,"21, 22, 23",2025-05-28 09:46:00,EPMEE,146-200,فرودگاه مهرآباد,Domestic Departure,2025-05-28 09:30:00,2025-05-28 09:46:00,2025-05-28 09:30:00,2025-05-28 09:46:00,0 days 00:16:00,16.0,Wednesday,0,0,0,0,Spring,Morning,Late,1,9
2025-05-28 09:35:00,چابهار,IRU7640,مشهد,پرواز كرد,3,2025-05-28 09:41:00,EPSEB,MD83,فرودگاه مهرآباد,Domestic Departure,2025-05-28 09:35:00,2025-05-28 09:41:00,2025-05-28 09:35:00,2025-05-28 09:41:00,0 days 00:06:00,6.0,Wednesday,0,0,0,0,Spring,Morning,On Time,1,9
